Frequency [MHz], Weight, a: Tsky [K], b: Tres1 [K], c: Tres2 [K], d: Tmodel [K], e: T21 [K]
50.012207,0,0,0,0,0,0
50.402832,0,0,0,0,0,0
50.793457,0,0,0,0,0,0
51.184082,1,4645.468619,-0.03444,-0.099255,0,-0.099255
51.574707,1,4556.501107,0.071895,0.021244,0,0.021244
51.965332,1,4469.791669,0.069184,0.032533,0,0.032533
52.355957,1,4385.322184,0.021121,-0.001962,0,-0.001962
52.746582,1,4303.120393,0.033718,0.023546,0,0.023546
53.137207,1,4223.017511,0.013104,0.015001,0,0.015001
53.527832,1,4145.008691,0.026163,0.03914,0,0.03914
53.918457,1,4068.957403,0.005077,0.028025,-0.000001,0.028024
54.309082,1,3994.773488,-0.074464,-0.042742,-0.000001,-0.042743
54.699707,1,3922.60149,-0.004788,0.034444,-0.000002,0.034442
55.090332,1,3852.174856,0.008095,0.053529,-0.000003,0.053526
55.480957,1,3783.443492,-0.027816,0.022483,-0.000005,0.022478
55.871582,1,3716.417642,-0.046527,0.007294,-0.000007,0.007287
56.262207,1,3651.042547,-0.04926,0.006738,-0.000012,0.006726
56.652832,1,3587.216399,-0.086405,-0.029556,-0.000019,-0.029575
57.043457,1,3525.004851,-0.042904,0.013496,-0.000029,0.013467
57.434082,1,3464.256396,-0.022774,0.031911,-0.000044,0.031867
57.824707,1,3404.863823,-0.087563,-0.035817,-0.000068,-0.035885
58.215332,1,3346.943716,-0.076771,-0.029136,-0.000103,-0.029239
58.605957,1,3290.36341,-0.080806,-0.038399,-0.000154,-0.038553
58.996582,1,3235.084007,-0.097896,-0.06177,-0.00023,-0.062
59.387207,1,3181.09955,-0.09484,-0.06598,-0.00034,-0.06632
59.777832,1,3128.370951,-0.073018,-0.052334,-0.000499,-0.052833
60.168457,1,3076.862936,-0.031375,-0.019695,-0.000727,-0.020422
60.559082,1,3026.481795,-0.028614,-0.026675,-0.001049,-0.027724
60.949707,1,2977.255996,-0.002523,-0.010963,-0.001502,-0.012465
61.340332,1,2929.127336,0.021236,0.001889,-0.002133,-0.000244
61.730957,1,2882.0558,0.034024,0.003372,-0.003005,0.000367
62.121582,1,2836.035966,0.060698,0.018483,-0.004196,0.014287
62.512207,1,2791.017292,0.079929,0.026062,-0.005811,0.020251
62.902832,1,2746.987689,0.107831,0.042412,-0.007979,0.034433
63.293457,1,2703.875832,0.100308,0.023657,-0.010859,0.012798
63.684082,1,2661.70429,0.106223,0.018917,-0.014647,0.00427
64.074707,1,2620.398315,0.076233,-0.020862,-0.019576,-0.040438
64.465332,1,2580.026868,0.103844,-0.001848,-0.025917,-0.027765
64.855957,1,2540.522177,0.145008,0.032272,-0.033976,-0.001704
65.246582,1,2501.782901,0.121318,0.003478,-0.044086,-0.040608
65.637207,1,2463.901499,0.147409,0.026801,-0.056595,-0.029794
66.027832,1,2426.766741,0.133499,0.012847,-0.071842,-0.058995
66.418457,1,2390.411416,0.133127,0.015499,-0.090124,-0.074625
66.809082,1,2354.781015,0.111862,0.00059,-0.111661,-0.111071
67.199707,1,2319.909699,0.123296,0.021845,-0.136544,-0.114699
67.590332,1,2285.714192,0.102963,0.014759,-0.164693,-0.149934
67.980957,1,2252.198009,0.072595,0.000804,-0.195811,-0.195007
68.371582,1,2219.34485,0.033528,-0.019179,-0.229364,-0.248543
68.762207,1,2187.18599,0.034123,0.002433,-0.26458,-0.262147
69.152832,1,2155.647776,0.017285,0.007604,-0.300487,-0.292883
69.543457,1,2124.735759,0.004604,0.01686,-0.335987,-0.319127
69.934082,1,2094.433467,-0.00484,0.028188,-0.369963,-0.341775
70.324707,1,2064.693322,-0.043555,0.008089,-0.401391,-0.393302
70.715332,1,2035.531531,-0.080716,-0.013398,-0.429462,-0.44286
71.105957,1,2006.964765,-0.085477,-0.005927,-0.453653,-0.45958
71.496582,1,1978.920551,-0.116564,-0.028399,-0.473767,-0.502166
71.887207,1,1951.475232,-0.084293,0.008999,-0.489909,-0.48091
72.277832,1,1924.497743,-0.106786,-0.01149,-0.502429,-0.513919
72.668457,1,1898.055179,-0.104386,-0.009683,-0.511831,-0.521514
73.059082,1,1872.09643,-0.11601,-0.023914,-0.518686,-0.5426
