                                                   LOG (TOTAL) [ERG/SEC/A]
               |-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
WAVELENGTH [A]    1Myr             2Myr           3Myr             4Myr           5Myr            6Myr             7Myr           8Myr             9Myr            10Myr            11Myr          12Myr           13Myr           14Myr           15Myr          16Myr           17Myr           18Myr           19Myr           20Myr           30Myr           40Myr           50Myr           60Myr           70Myr           80Myr           90Myr          100Myr           200Myr           300Myr         400Myr          500Myr          600Myr          700Myr          800Myr          900Myr
91.000000       21.462490       21.744920       21.906140       21.958990       21.961380       21.961420       21.961430       21.961430       21.961430       21.961430       21.961430       21.961430       21.961430       21.961430       21.961430       21.961430       21.961430       21.961430       21.961430       21.961430       21.961430       21.961430       21.961430       21.961430       21.961430       21.961430       21.961430       21.961430       21.961430       21.961430       21.961430       21.961430       21.961430       21.961430       21.961430       21.961430    
94.000000       21.939990       22.222440       22.383720       22.436790       22.439510       22.439570       22.439570       22.439570       22.439570       22.439570       22.439570       22.439570       22.439570       22.439570       22.439570       22.439570       22.439570       22.439570       22.439570       22.439570       22.439570       22.439570       22.439570       22.439570       22.439570       22.439570       22.439570       22.439570       22.439570       22.439570       22.439570       22.439570       22.439570       22.439570       22.439570       22.439570    
96.000000       22.402570       22.685070       22.846410       22.899720       22.902810       22.902890       22.902900       22.902900       22.902900       22.902900       22.902900       22.902900       22.902900       22.902900       22.902900       22.902900       22.902900       22.902900       22.902900       22.902900       22.902900       22.902900       22.902900       22.902900       22.902900       22.902900       22.902900       22.902900       22.902900       22.902900       22.902900       22.902900       22.902900       22.902900       22.902900       22.902900    
98.000000       22.669270       22.951780       23.113160       23.166640       23.169960       23.170060       23.170070       23.170070       23.170070       23.170070       23.170070       23.170070       23.170070       23.170070       23.170070       23.170070       23.170070       23.170070       23.170070       23.170070       23.170070       23.170070       23.170070       23.170070       23.170070       23.170070       23.170070       23.170070       23.170070       23.170070       23.170070       23.170070       23.170070       23.170070       23.170070       23.170070    
100.00000       22.978430       23.260980       23.422400       23.476090       23.479730       23.479850       23.479860       23.479860       23.479860       23.479860       23.479860       23.479860       23.479860       23.479860       23.479860       23.479860       23.479860       23.479860       23.479860       23.479860       23.479860       23.479860       23.479860       23.479860       23.479860       23.479860       23.479860       23.479860       23.479860       23.479860       23.479860       23.479860       23.479860       23.479860       23.479860       23.479860    
102.00000       23.358090       23.640670       23.802170       23.856150       23.860210       23.860350       23.860370       23.860370       23.860370       23.860370       23.860370       23.860370       23.860370       23.860370       23.860370       23.860370       23.860370       23.860370       23.860370       23.860370       23.860370       23.860370       23.860370       23.860370       23.860370       23.860370       23.860370       23.860370       23.860370       23.860370       23.860370       23.860370       23.860370       23.860370       23.860370       23.860370    
104.00000       23.628460       23.911080       24.072630       24.126840       24.131240       24.131400       24.131420       24.131420       24.131420       24.131420       24.131420       24.131420       24.131420       24.131420       24.131420       24.131420       24.131420       24.131420       24.131420       24.131420       24.131420       24.131420       24.131420       24.131420       24.131420       24.131420       24.131420       24.131420       24.131420       24.131420       24.131420       24.131420       24.131420       24.131420       24.131420       24.131420    
106.00000       23.890050       24.172700       24.334310       24.388760       24.393520       24.393710       24.393730       24.393730       24.393730       24.393730       24.393730       24.393730       24.393730       24.393730       24.393730       24.393730       24.393730       24.393730       24.393730       24.393730       24.393730       24.393730       24.393730       24.393730       24.393730       24.393730       24.393730       24.393730       24.393730       24.393730       24.393730       24.393730       24.393730       24.393730       24.393730       24.393730    
108.00000       24.188180       24.470870       24.632550       24.687310       24.692500       24.692730       24.692750       24.692750       24.692750       24.692750       24.692750       24.692750       24.692750       24.692750       24.692750       24.692750       24.692750       24.692750       24.692750       24.692750       24.692750       24.692750       24.692750       24.692750       24.692750       24.692750       24.692750       24.692750       24.692750       24.692750       24.692750       24.692750       24.692750       24.692750       24.692750       24.692750    
110.00000       24.559770       24.842530       25.004310       25.059480       25.065280       25.065560       25.065590       25.065590       25.065590       25.065590       25.065590       25.065590       25.065590       25.065590       25.065590       25.065590       25.065590       25.065590       25.065590       25.065590       25.065590       25.065590       25.065590       25.065590       25.065590       25.065590       25.065590       25.065590       25.065590       25.065590       25.065590       25.065590       25.065590       25.065590       25.065590       25.065590    
