                                             NORMALIZED SPECTRUM
               |-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
WAVELENGTH [A]    1 Myr          2 Myr          3 Myr          4 Myr          5 Myr          6 Myr          7 Myr          8 Myr          9 Myr          10 Myr         11 Myr         12 Myr         13 Myr        14 Myr         15 Myr         16 Myr          17 Myr        18 Myr         19 Myr         20 Myr
1.20550e+03    4.79600e-01    4.61700e-01    4.99600e-01    5.18700e-01    5.83100e-01    6.34300e-01    6.50700e-01    6.46800e-01    6.30300e-01    5.93300e-01    5.75500e-01    5.51700e-01    5.23700e-01    4.97000e-01    4.64200e-01    4.44700e-01    4.20700e-01    3.95200e-01    3.77800e-01    3.57500e-01    
1.20625e+03    4.03400e-01    3.79500e-01    4.01600e-01    4.02000e-01    4.95400e-01    5.76300e-01    6.22200e-01    6.15400e-01    6.00000e-01    5.67200e-01    5.47700e-01    5.24600e-01    4.94300e-01    4.65500e-01    4.27800e-01    4.06100e-01    3.83400e-01    3.57700e-01    3.41400e-01    3.22300e-01    
1.20700e+03    4.51200e-01    4.43300e-01    4.76800e-01    4.91000e-01    5.30900e-01    5.69000e-01    5.90000e-01    5.78700e-01    5.62900e-01    5.33900e-01    5.14000e-01    4.91800e-01    4.61300e-01    4.33800e-01    3.96700e-01    3.75200e-01    3.54400e-01    3.30300e-01    3.15700e-01    2.98100e-01    
1.20775e+03    4.31000e-01    4.27400e-01    4.41600e-01    4.73900e-01    5.11000e-01    5.42400e-01    5.57000e-01    5.44900e-01    5.29100e-01    5.02800e-01    4.83400e-01    4.62300e-01    4.32600e-01    4.06800e-01    3.71400e-01    3.50700e-01    3.31500e-01    3.08900e-01    2.95900e-01    2.79500e-01    
1.20850e+03    3.86000e-01    3.64000e-01    4.11000e-01    4.23500e-01    4.71100e-01    5.13900e-01    5.32900e-01    5.26000e-01    5.13600e-01    4.85900e-01    4.69600e-01    4.50800e-01    4.23500e-01    3.98100e-01    3.63200e-01    3.43300e-01    3.23800e-01    3.00900e-01    2.88200e-01    2.72100e-01    
1.20925e+03    3.33400e-01    7.19100e-01    3.32200e-01    3.42600e-01    4.15800e-01    4.68700e-01    4.94600e-01    4.92200e-01    4.83500e-01    4.56500e-01    4.43600e-01    4.28200e-01    4.03600e-01    3.79900e-01    3.46600e-01    3.28000e-01    3.10000e-01    2.88000e-01    2.76300e-01    2.61600e-01    
1.21000e+03    2.94100e-01    2.81400e-01    2.98800e-01    3.02100e-01    3.66900e-01    4.20300e-01    4.47300e-01    4.48200e-01    4.43400e-01    4.18400e-01    4.09100e-01    3.97700e-01    3.76100e-01    3.54600e-01    3.23700e-01    3.06800e-01    2.91100e-01    2.70700e-01    2.60600e-01    2.47900e-01    
1.21075e+03    3.05600e-01    2.86600e-01    2.58700e-01    2.94800e-01    3.47200e-01    3.83500e-01    3.95500e-01    3.94900e-01    3.91000e-01    3.70000e-01    3.62200e-01    3.52800e-01    3.34600e-01    3.16400e-01    2.90100e-01    2.75800e-01    2.62600e-01    2.45000e-01    2.36500e-01    2.25700e-01    
1.21150e+03    2.13800e-01    2.00800e-01    2.02000e-01    2.13900e-01    2.69800e-01    3.16400e-01    3.41300e-01    3.42600e-01    3.39800e-01    3.22300e-01    3.16100e-01    3.08800e-01    2.93900e-01    2.79000e-01    2.57000e-01    2.45300e-01    2.34700e-01    2.19800e-01    2.12900e-01    2.04000e-01    
1.21225e+03    2.04600e-01    1.99500e-01    1.83000e-01    1.91900e-01    2.34000e-01    2.66300e-01    2.89700e-01    2.91900e-01    2.90600e-01    2.75700e-01    2.71500e-01    2.66400e-01    2.54800e-01    2.43000e-01    2.25200e-01    2.16100e-01    2.08000e-01    1.96300e-01    1.90800e-01    1.83800e-01    
