                                             LOG (LUMINOSITY)
               |-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
WAVELENGTH [A]    1 Myr          2 Myr          3 Myr          4 Myr          5 Myr          6 Myr          7 Myr          8 Myr          9 Myr          10 Myr         11 Myr         12 Myr         13 Myr        14 Myr         15 Myr         16 Myr          17 Myr        18 Myr         19 Myr         20 Myr
1.20550e+03    3.90292e+01    3.93213e+01    3.95047e+01    3.96391e+01    3.97503e+01    3.98554e+01    3.99322e+01    3.99845e+01    4.00239e+01    4.00538e+01    4.00768e+01    4.00950e+01    4.01100e+01    4.01221e+01    4.01322e+01    4.01403e+01    4.01474e+01    4.01533e+01    4.01584e+01    4.01628e+01    
1.20625e+03    3.89537e+01    3.92437e+01    3.94250e+01    3.95573e+01    3.96634e+01    3.97746e+01    3.98599e+01    3.99187e+01    3.99620e+01    3.99948e+01    4.00200e+01    4.00398e+01    4.00559e+01    4.00689e+01    4.00795e+01    4.00880e+01    4.00952e+01    4.01013e+01    4.01065e+01    4.01110e+01    
1.20700e+03    3.89759e+01    3.92687e+01    3.94531e+01    3.95887e+01    3.97013e+01    3.98062e+01    3.98837e+01    3.99366e+01    3.99758e+01    4.00058e+01    4.00290e+01    4.00473e+01    4.00622e+01    4.00742e+01    4.00839e+01    4.00917e+01    4.00984e+01    4.01040e+01    4.01087e+01    4.01129e+01    
1.20775e+03    3.89763e+01    3.92686e+01    3.94517e+01    3.95848e+01    3.96954e+01    3.97981e+01    3.98732e+01    3.99245e+01    3.99624e+01    3.99917e+01    4.00143e+01    4.00321e+01    4.00466e+01    4.00583e+01    4.00678e+01    4.00753e+01    4.00818e+01    4.00873e+01    4.00920e+01    4.00961e+01    
1.20850e+03    3.89316e+01    3.92214e+01    3.94034e+01    3.95385e+01    3.96497e+01    3.97555e+01    3.98337e+01    3.98872e+01    3.99271e+01    3.99577e+01    3.99813e+01    4.00000e+01    4.00153e+01    4.00275e+01    4.00375e+01    4.00455e+01    4.00523e+01    4.00581e+01    4.00630e+01    4.00672e+01    
1.20925e+03    3.88942e+01    3.91831e+01    3.93628e+01    3.94943e+01    3.96001e+01    3.97056e+01    3.97855e+01    3.98407e+01    3.98821e+01    3.99138e+01    3.99382e+01    3.99576e+01    3.99736e+01    3.99864e+01    3.99969e+01    4.00052e+01    4.00123e+01    4.00183e+01    4.00235e+01    4.00279e+01    
1.21000e+03    3.88436e+01    3.91317e+01    3.93104e+01    3.94411e+01    3.95462e+01    3.96521e+01    3.97324e+01    3.97884e+01    3.98307e+01    3.98631e+01    3.98881e+01    3.99081e+01    3.99247e+01    3.99380e+01    3.99489e+01    3.99575e+01    3.99650e+01    3.99713e+01    3.99766e+01    3.99813e+01    
1.21075e+03    3.88017e+01    3.90901e+01    3.92687e+01    3.94002e+01    3.95098e+01    3.96161e+01    3.96943e+01    3.97480e+01    3.97887e+01    3.98201e+01    3.98445e+01    3.98640e+01    3.98802e+01    3.98933e+01    3.99040e+01    3.99125e+01    3.99199e+01    3.99261e+01    3.99315e+01    3.99362e+01    
1.21150e+03    3.87022e+01    3.89872e+01    3.91628e+01    3.92911e+01    3.93940e+01    3.95031e+01    3.95875e+01    3.96463e+01    3.96905e+01    3.97243e+01    3.97506e+01    3.97716e+01    3.97889e+01    3.98030e+01    3.98146e+01    3.98238e+01    3.98318e+01    3.98386e+01    3.98445e+01    3.98497e+01    
1.21225e+03    3.86388e+01    3.89261e+01    3.91047e+01    3.92349e+01    3.93379e+01    3.94424e+01    3.95237e+01    3.95810e+01    3.96244e+01    3.96578e+01    3.96837e+01    3.97046e+01    3.97219e+01    3.97360e+01    3.97475e+01    3.97569e+01    3.97650e+01    3.97720e+01    3.97780e+01    3.97833e+01    
