                                                   LOG (TOTAL) [ERG/SEC/A]
               |-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
WAVELENGTH [A]    1Myr             2Myr           3Myr             4Myr           5Myr            6Myr             7Myr           8Myr             9Myr            10Myr            11Myr          12Myr           13Myr           14Myr           15Myr          16Myr           17Myr           18Myr           19Myr           20Myr           30Myr           40Myr           50Myr           60Myr           70Myr           80Myr           90Myr          100Myr           200Myr           300Myr         400Myr          500Myr          600Myr          700Myr          800Myr          900Myr
91.000000       23.936310       23.936620       23.936620       37.805870       38.002430       38.282590       38.332130       38.332130       38.332130       38.332130       38.332130       38.332130       38.332130       38.332130       38.332130       38.332130       38.332130       38.332130       38.332130       38.332130       38.332130       38.332130       38.332130       38.332130       38.332130       38.332130       38.332130       38.332130       38.332130       38.332130       38.332130       38.332130       38.332130       38.332130       38.332130       38.332130    
94.000000       24.369120       24.369500       24.369500       37.881410       38.074270       38.351210       38.399970       38.399970       38.399970       38.399970       38.399970       38.399970       38.399970       38.399970       38.399970       38.399970       38.399970       38.399970       38.399970       38.399970       38.399970       38.399970       38.399970       38.399970       38.399970       38.399970       38.399970       38.399970       38.399970       38.399970       38.399970       38.399970       38.399970       38.399970       38.399970       38.399970    
96.000000       24.780230       24.780680       24.780680       37.934620       38.125080       38.399910       38.448220       38.448220       38.448220       38.448220       38.448220       38.448220       38.448220       38.448220       38.448220       38.448220       38.448220       38.448220       38.448220       38.448220       38.448220       38.448220       38.448220       38.448220       38.448220       38.448220       38.448220       38.448220       38.448220       38.448220       38.448220       38.448220       38.448220       38.448220       38.448220       38.448220    
98.000000       25.027980       25.028470       25.028470       37.981700       38.170160       38.443210       38.491140       38.491140       38.491140       38.491140       38.491140       38.491140       38.491140       38.491140       38.491140       38.491140       38.491140       38.491140       38.491140       38.491140       38.491140       38.491140       38.491140       38.491140       38.491140       38.491140       38.491140       38.491140       38.491140       38.491140       38.491140       38.491140       38.491140       38.491140       38.491140       38.491140    
100.00000       25.306990       25.307530       25.307530       38.013530       38.200250       38.471670       38.519320       38.519320       38.519320       38.519320       38.519320       38.519320       38.519320       38.519320       38.519320       38.519320       38.519320       38.519320       38.519320       38.519320       38.519320       38.519320       38.519320       38.519320       38.519320       38.519320       38.519320       38.519320       38.519320       38.519320       38.519320       38.519320       38.519320       38.519320       38.519320       38.519320    
102.00000       25.649560       25.650170       25.650170       38.034730       38.220140       38.490220       38.537690       38.537690       38.537690       38.537690       38.537690       38.537690       38.537690       38.537690       38.537690       38.537690       38.537690       38.537690       38.537690       38.537690       38.537690       38.537690       38.537690       38.537690       38.537690       38.537690       38.537690       38.537690       38.537690       38.537690       38.537690       38.537690       38.537690       38.537690       38.537690       38.537690    
104.00000       25.892520       25.893180       25.893180       38.038330       38.223270       38.492630       38.540080       38.540080       38.540080       38.540080       38.540080       38.540080       38.540080       38.540080       38.540080       38.540080       38.540080       38.540080       38.540080       38.540080       38.540080       38.540080       38.540080       38.540080       38.540080       38.540080       38.540080       38.540080       38.540080       38.540080       38.540080       38.540080       38.540080       38.540080       38.540080       38.540080    
106.00000       26.127370       26.128090       26.128090       38.040800       38.225060       38.493470       38.540960       38.540960       38.540960       38.540960       38.540960       38.540960       38.540960       38.540960       38.540960       38.540960       38.540960       38.540960       38.540960       38.540960       38.540960       38.540960       38.540960       38.540960       38.540960       38.540960       38.540960       38.540960       38.540960       38.540960       38.540960       38.540960       38.540960       38.540960       38.540960       38.540960    
108.00000       26.394370       26.395170       26.395170       38.043390       38.227120       38.494810       38.542340       38.542340       38.542340       38.542340       38.542340       38.542340       38.542340       38.542340       38.542340       38.542340       38.542340       38.542340       38.542340       38.542340       38.542340       38.542340       38.542340       38.542340       38.542340       38.542340       38.542340       38.542340       38.542340       38.542340       38.542340       38.542340       38.542340       38.542340       38.542340       38.542340    
110.00000       26.727560       26.728450       26.728450       38.046860       38.230270       38.497410       38.544930       38.544930       38.544930       38.544930       38.544930       38.544930       38.544930       38.544930       38.544930       38.544930       38.544930       38.544930       38.544930       38.544930       38.544930       38.544930       38.544930       38.544930       38.544930       38.544930       38.544930       38.544930       38.544930       38.544930       38.544930       38.544930       38.544930       38.544930       38.544930       38.544930    
