                                             NORMALIZED SPECTRUM
               |-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
WAVELENGTH [A]    1 Myr          2 Myr          3 Myr          4 Myr          5 Myr          6 Myr          7 Myr          8 Myr          9 Myr          10 Myr         11 Myr         12 Myr         13 Myr        14 Myr         15 Myr         16 Myr          17 Myr        18 Myr         19 Myr         20 Myr          30Myr          40Myr          50Myr           60Myr         70Myr           80Myr         90Myr           100Myr
1.01600e+03    9.92200e-01    9.94800e-01    9.96700e-01    9.97700e-01    9.98400e-01    9.98900e-01    9.99200e-01    9.99400e-01    9.99500e-01    9.99600e-01    9.99700e-01    9.99700e-01    9.99800e-01    9.99900e-01    1.00000e+00    1.00000e+00    1.00010e+00    1.00020e+00    1.00020e+00    1.00030e+00    1.00090e+00    1.00190e+00    1.00340e+00    1.00470e+00    1.00550e+00    1.00590e+00    1.00600e+00    1.00600e+00    
1.01620e+03    9.93600e-01    9.95600e-01    9.97100e-01    9.97900e-01    9.98400e-01    9.98700e-01    9.98900e-01    9.99000e-01    9.99100e-01    9.99200e-01    9.99200e-01    9.99300e-01    9.99300e-01    9.99300e-01    9.99400e-01    9.99400e-01    9.99400e-01    9.99400e-01    9.99400e-01    9.99500e-01    9.99600e-01    9.99800e-01    1.00000e+00    1.00020e+00    1.00040e+00    1.00040e+00    1.00040e+00    1.00040e+00    
1.01640e+03    9.92400e-01    9.94300e-01    9.95700e-01    9.96700e-01    9.97400e-01    9.97800e-01    9.98000e-01    9.98200e-01    9.98200e-01    9.98300e-01    9.98300e-01    9.98300e-01    9.98300e-01    9.98300e-01    9.98300e-01    9.98300e-01    9.98300e-01    9.98300e-01    9.98300e-01    9.98200e-01    9.97600e-01    9.96900e-01    9.96500e-01    9.96300e-01    9.96200e-01    9.96100e-01    9.96100e-01    9.96100e-01    
1.01660e+03    9.99700e-01    1.00130e+00    1.00220e+00    1.00180e+00    1.00130e+00    1.00110e+00    1.00090e+00    1.00080e+00    1.00070e+00    1.00060e+00    1.00060e+00    1.00050e+00    1.00050e+00    1.00040e+00    1.00040e+00    1.00030e+00    1.00030e+00    1.00020e+00    1.00020e+00    1.00010e+00    9.98900e-01    9.98300e-01    9.99200e-01    1.00020e+00    1.00100e+00    1.00140e+00    1.00150e+00    1.00150e+00    
1.01680e+03    1.00150e+00    1.00290e+00    1.00340e+00    1.00250e+00    1.00160e+00    1.00100e+00    1.00060e+00    1.00030e+00    1.00010e+00    9.99900e-01    9.99800e-01    9.99600e-01    9.99400e-01    9.99300e-01    9.99100e-01    9.99000e-01    9.98800e-01    9.98600e-01    9.98500e-01    9.98300e-01    9.94900e-01    9.92200e-01    9.91600e-01    9.91700e-01    9.91900e-01    9.92100e-01    9.92100e-01    9.92200e-01    
1.01700e+03    9.96700e-01    9.97600e-01    9.98100e-01    9.98000e-01    9.97900e-01    9.97600e-01    9.97300e-01    9.97100e-01    9.97000e-01    9.96800e-01    9.96600e-01    9.96400e-01    9.96100e-01    9.95900e-01    9.95700e-01    9.95400e-01    9.95200e-01    9.94900e-01    9.94600e-01    9.94300e-01    9.88600e-01    9.83400e-01    9.80700e-01    9.79300e-01    9.78500e-01    9.78200e-01    9.78100e-01    9.78200e-01    
1.01720e+03    9.92600e-01    9.93000e-01    9.93600e-01    9.94200e-01    9.94800e-01    9.94900e-01    9.94800e-01    9.94800e-01    9.94700e-01    9.94500e-01    9.94300e-01    9.94100e-01    9.93900e-01    9.93600e-01    9.93400e-01    9.93100e-01    9.92800e-01    9.92500e-01    9.92100e-01    9.91700e-01    9.85000e-01    9.78600e-01    9.74700e-01    9.72400e-01    9.71000e-01    9.70400e-01    9.70300e-01    9.70400e-01    
1.01740e+03    9.87600e-01    9.88100e-01    9.88900e-01    9.90600e-01    9.92100e-01    9.92700e-01    9.92800e-01    9.93000e-01    9.93000e-01    9.93000e-01    9.92900e-01    9.92700e-01    9.92500e-01    9.92300e-01    9.92100e-01    9.91800e-01    9.91500e-01    9.91200e-01    9.90900e-01    9.90500e-01    9.83800e-01    9.77400e-01    9.73700e-01    9.71500e-01    9.70300e-01    9.69800e-01    9.69700e-01    9.69800e-01    
1.01760e+03    9.78800e-01    9.79400e-01    9.80600e-01    9.83400e-01    9.85800e-01    9.86200e-01    9.85700e-01    9.85100e-01    9.84200e-01    9.83000e-01    9.81300e-01    9.79700e-01    9.78100e-01    9.76800e-01    9.75800e-01    9.75200e-01    9.74800e-01    9.74600e-01    9.74400e-01    9.74300e-01    9.71200e-01    9.67500e-01    9.65700e-01    9.64800e-01    9.64300e-01    9.64100e-01    9.64200e-01    9.64300e-01    
1.01780e+03    9.81400e-01    9.82300e-01    9.83900e-01    9.87400e-01    9.90300e-01    9.92200e-01    9.93300e-01    9.94200e-01    9.94800e-01    9.95400e-01    9.96000e-01    9.96500e-01    9.96900e-01    9.97200e-01    9.97400e-01    9.97500e-01    9.97500e-01    9.97400e-01    9.97300e-01    9.97100e-01    9.93700e-01    9.90600e-01    9.89100e-01    9.88400e-01    9.88000e-01    9.87900e-01    9.87900e-01    9.87900e-01    
1.01800e+03    9.38400e-01    9.39400e-01    9.41200e-01    9.44900e-01    9.44300e-01    9.33100e-01    9.24000e-01    9.17200e-01    9.12300e-01    9.09800e-01    9.09600e-01    9.10700e-01    9.12500e-01    9.14500e-01    9.16300e-01    9.17900e-01    9.19400e-01    9.20700e-01    9.21900e-01    9.23000e-01    9.27800e-01    9.28400e-01    9.28300e-01    9.28100e-01    9.27900e-01    9.28000e-01    9.28100e-01    9.28000e-01    
1.01820e+03    9.11600e-01    9.11000e-01    9.09200e-01    9.05000e-01    9.04400e-01    8.99300e-01    8.96800e-01    8.94900e-01    8.93100e-01    8.92500e-01    8.93500e-01    8.95300e-01    8.97300e-01    8.99000e-01    8.99800e-01    9.00100e-01    8.99900e-01    8.99500e-01    8.98800e-01    8.98100e-01    8.97000e-01    8.99400e-01    9.00000e-01    9.00000e-01    8.99900e-01    8.99700e-01    8.99600e-01    8.99200e-01    
1.01840e+03    9.79600e-01    9.81500e-01    9.83000e-01    9.84100e-01    9.84700e-01    9.86100e-01    9.85800e-01    9.85100e-01    9.85000e-01    9.85700e-01    9.87000e-01    9.88500e-01    9.90100e-01    9.91400e-01    9.92400e-01    9.93000e-01    9.93400e-01    9.93600e-01    9.93700e-01    9.93700e-01    9.93100e-01    9.92400e-01    9.91300e-01    9.90400e-01    9.89700e-01    9.89300e-01    9.89200e-01    9.89300e-01    
1.01860e+03    1.03530e+00    1.03820e+00    1.04160e+00    1.04640e+00    1.04820e+00    1.05150e+00    1.05250e+00    1.05280e+00    1.05310e+00    1.05320e+00    1.05310e+00    1.05280e+00    1.05260e+00    1.05260e+00    1.05270e+00    1.05310e+00    1.05360e+00    1.05410e+00    1.05470e+00    1.05520e+00    1.05690e+00    1.05570e+00    1.05430e+00    1.05320e+00    1.05240e+00    1.05190e+00    1.05160e+00    1.05160e+00    
