                                             LOG (LUMINOSITY)
               |-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
WAVELENGTH [A]    1 Myr          2 Myr          3 Myr          4 Myr          5 Myr          6 Myr          7 Myr          8 Myr          9 Myr          10 Myr         11 Myr         12 Myr         13 Myr        14 Myr         15 Myr         16 Myr          17 Myr        18 Myr         19 Myr         20 Myr          30Myr          40Myr          50Myr           60Myr         70Myr           80Myr         90Myr           100Myr
1.01600e+03    3.93449e+01    3.96393e+01    3.98254e+01    3.99622e+01    4.00778e+01    4.01696e+01    4.02320e+01    4.02752e+01    4.03077e+01    4.03333e+01    4.03540e+01    4.03708e+01    4.03852e+01    4.03973e+01    4.04079e+01    4.04170e+01    4.04252e+01    4.04325e+01    4.04389e+01    4.04449e+01    4.04816e+01    4.04992e+01    4.05093e+01    4.05155e+01    4.05195e+01    4.05221e+01    4.05236e+01    4.05246e+01    
1.01620e+03    3.93455e+01    3.96396e+01    3.98255e+01    3.99622e+01    4.00778e+01    4.01695e+01    4.02319e+01    4.02751e+01    4.03075e+01    4.03332e+01    4.03538e+01    4.03706e+01    4.03849e+01    4.03970e+01    4.04076e+01    4.04167e+01    4.04249e+01    4.04321e+01    4.04386e+01    4.04446e+01    4.04810e+01    4.04983e+01    4.05078e+01    4.05136e+01    4.05173e+01    4.05197e+01    4.05211e+01    4.05222e+01    
1.01640e+03    3.93450e+01    3.96391e+01    3.98249e+01    3.99618e+01    4.00774e+01    4.01691e+01    4.02315e+01    4.02747e+01    4.03071e+01    4.03328e+01    4.03534e+01    4.03702e+01    4.03845e+01    4.03966e+01    4.04072e+01    4.04163e+01    4.04244e+01    4.04316e+01    4.04381e+01    4.04440e+01    4.04802e+01    4.04970e+01    4.05063e+01    4.05119e+01    4.05155e+01    4.05178e+01    4.05193e+01    4.05203e+01    
1.01660e+03    3.93481e+01    3.96421e+01    3.98278e+01    3.99639e+01    4.00791e+01    4.01706e+01    4.02328e+01    4.02758e+01    4.03082e+01    4.03338e+01    4.03544e+01    4.03711e+01    4.03854e+01    4.03975e+01    4.04081e+01    4.04171e+01    4.04253e+01    4.04325e+01    4.04389e+01    4.04449e+01    4.04807e+01    4.04977e+01    4.05075e+01    4.05136e+01    4.05176e+01    4.05201e+01    4.05216e+01    4.05227e+01    
1.01680e+03    3.93490e+01    3.96428e+01    3.98283e+01    3.99642e+01    4.00793e+01    4.01705e+01    4.02326e+01    4.02756e+01    4.03079e+01    4.03335e+01    4.03541e+01    4.03707e+01    4.03850e+01    4.03970e+01    4.04076e+01    4.04165e+01    4.04247e+01    4.04318e+01    4.04382e+01    4.04441e+01    4.04790e+01    4.04950e+01    4.05042e+01    4.05099e+01    4.05136e+01    4.05161e+01    4.05175e+01    4.05186e+01    
1.01700e+03    3.93468e+01    3.96405e+01    3.98260e+01    3.99623e+01    4.00776e+01    4.01690e+01    4.02312e+01    4.02742e+01    4.03066e+01    4.03321e+01    4.03527e+01    4.03693e+01    4.03835e+01    4.03955e+01    4.04061e+01    4.04150e+01    4.04231e+01    4.04302e+01    4.04365e+01    4.04423e+01    4.04763e+01    4.04911e+01    4.04994e+01    4.05044e+01    4.05077e+01    4.05099e+01    4.05114e+01    4.05124e+01    
1.01720e+03    3.93451e+01    3.96385e+01    3.98240e+01    3.99607e+01    4.00763e+01    4.01679e+01    4.02301e+01    4.02732e+01    4.03056e+01    4.03312e+01    4.03517e+01    4.03683e+01    4.03826e+01    4.03946e+01    4.04051e+01    4.04140e+01    4.04220e+01    4.04291e+01    4.04354e+01    4.04412e+01    4.04747e+01    4.04890e+01    4.04967e+01    4.05013e+01    4.05044e+01    4.05065e+01    4.05079e+01    4.05090e+01    
1.01740e+03    3.93429e+01    3.96364e+01    3.98220e+01    3.99591e+01    4.00751e+01    4.01669e+01    4.02293e+01    4.02724e+01    4.03049e+01    4.03305e+01    4.03511e+01    4.03677e+01    4.03820e+01    4.03940e+01    4.04045e+01    4.04134e+01    4.04215e+01    4.04286e+01    4.04349e+01    4.04407e+01    4.04741e+01    4.04885e+01    4.04963e+01    4.05010e+01    4.05040e+01    4.05062e+01    4.05076e+01    4.05087e+01    
1.01760e+03    3.93390e+01    3.96325e+01    3.98183e+01    3.99559e+01    4.00724e+01    4.01641e+01    4.02261e+01    4.02690e+01    4.03010e+01    4.03261e+01    4.03460e+01    4.03620e+01    4.03756e+01    4.03871e+01    4.03973e+01    4.04061e+01    4.04141e+01    4.04212e+01    4.04276e+01    4.04335e+01    4.04685e+01    4.04841e+01    4.04927e+01    4.04979e+01    4.05014e+01    4.05037e+01    4.05051e+01    4.05062e+01    
1.01780e+03    3.93401e+01    3.96338e+01    3.98198e+01    3.99577e+01    4.00743e+01    4.01667e+01    4.02295e+01    4.02730e+01    4.03056e+01    4.03315e+01    4.03524e+01    4.03694e+01    4.03839e+01    4.03961e+01    4.04068e+01    4.04159e+01    4.04241e+01    4.04313e+01    4.04377e+01    4.04436e+01    4.04785e+01    4.04943e+01    4.05031e+01    4.05084e+01    4.05119e+01    4.05142e+01    4.05157e+01    4.05168e+01    
1.01800e+03    3.93207e+01    3.96144e+01    3.98005e+01    3.99386e+01    4.00537e+01    4.01401e+01    4.01981e+01    4.02379e+01    4.02681e+01    4.02925e+01    4.03130e+01    4.03303e+01    4.03455e+01    4.03585e+01    4.03700e+01    4.03798e+01    4.03887e+01    4.03965e+01    4.04035e+01    4.04100e+01    4.04487e+01    4.04661e+01    4.04755e+01    4.04811e+01    4.04847e+01    4.04871e+01    4.04886e+01    4.04896e+01    
1.01820e+03    3.93081e+01    3.96011e+01    3.97855e+01    3.99198e+01    4.00349e+01    4.01240e+01    4.01851e+01    4.02273e+01    4.02588e+01    4.02842e+01    4.03053e+01    4.03229e+01    4.03382e+01    4.03511e+01    4.03621e+01    4.03713e+01    4.03794e+01    4.03864e+01    4.03925e+01    4.03982e+01    4.04340e+01    4.04523e+01    4.04621e+01    4.04678e+01    4.04714e+01    4.04736e+01    4.04750e+01    4.04759e+01    
1.01840e+03    3.93394e+01    3.96335e+01    3.98194e+01    3.99562e+01    4.00719e+01    4.01640e+01    4.02262e+01    4.02690e+01    4.03013e+01    4.03273e+01    4.03485e+01    4.03659e+01    4.03809e+01    4.03936e+01    4.04046e+01    4.04140e+01    4.04223e+01    4.04296e+01    4.04361e+01    4.04421e+01    4.04782e+01    4.04951e+01    4.05040e+01    4.05093e+01    4.05127e+01    4.05149e+01    4.05163e+01    4.05174e+01    
1.01860e+03    3.93634e+01    3.96579e+01    3.98445e+01    3.99829e+01    4.00990e+01    4.01919e+01    4.02546e+01    4.02979e+01    4.03304e+01    4.03561e+01    4.03766e+01    4.03933e+01    4.04075e+01    4.04196e+01    4.04303e+01    4.04395e+01    4.04479e+01    4.04553e+01    4.04620e+01    4.04682e+01    4.05053e+01    4.05219e+01    4.05308e+01    4.05360e+01    4.05393e+01    4.05415e+01    4.05428e+01    4.05439e+01    
1.01880e+03    3.93745e+01    3.96684e+01    3.98541e+01    3.99909e+01    4.01063e+01    4.01985e+01    4.02609e+01    4.03042e+01    4.03368e+01    4.03626e+01    4.03833e+01    4.04000e+01    4.04143e+01    4.04264e+01    4.04371e+01    4.04463e+01    4.04547e+01    4.04621e+01    4.04688e+01    4.04750e+01    4.05117e+01    4.05281e+01    4.05369e+01    4.05420e+01    4.05453e+01    4.05475e+01    4.05488e+01    4.05497e+01    
1.01900e+03    3.93669e+01    3.96605e+01    3.98462e+01    3.99833e+01    4.00986e+01    4.01894e+01    4.02512e+01    4.02938e+01    4.03257e+01    4.03510e+01    4.03717e+01    4.03887e+01    4.04034e+01    4.04159e+01    4.04269e+01    4.04363e+01    4.04448e+01    4.04523e+01    4.04590e+01    4.04651e+01    4.05014e+01    4.05172e+01    4.05255e+01    4.05303e+01    4.05334e+01    4.05356e+01    4.05370e+01    4.05379e+01    
1.01920e+03    3.93276e+01    3.96196e+01    3.98038e+01    3.99388e+01    4.00515e+01    4.01409e+01    4.02018e+01    4.02426e+01    4.02721e+01    4.02955e+01    4.03152e+01    4.03318e+01    4.03465e+01    4.03590e+01    4.03701e+01    4.03795e+01    4.03881e+01    4.03956e+01    4.04024e+01    4.04086e+01    4.04454e+01    4.04616e+01    4.04700e+01    4.04747e+01    4.04777e+01    4.04798e+01    4.04811e+01    4.04820e+01    
1.01940e+03    3.93229e+01    3.96148e+01    3.97986e+01    3.99328e+01    4.00453e+01    4.01318e+01    4.01907e+01    4.02308e+01    4.02602e+01    4.02835e+01    4.03028e+01    4.03188e+01    4.03328e+01    4.03447e+01    4.03550e+01    4.03637e+01    4.03715e+01    4.03783e+01    4.03844e+01    4.03899e+01    4.04230e+01    4.04377e+01    4.04449e+01    4.04488e+01    4.04513e+01    4.04531e+01    4.04544e+01    4.04553e+01    
1.01960e+03    3.93390e+01    3.96320e+01    3.98171e+01    3.99532e+01    4.00660e+01    4.01515e+01    4.02089e+01    4.02484e+01    4.02781e+01    4.03018e+01    4.03214e+01    4.03376e+01    4.03515e+01    4.03631e+01    4.03730e+01    4.03812e+01    4.03884e+01    4.03945e+01    4.03999e+01    4.04048e+01    4.04341e+01    4.04480e+01    4.04550e+01    4.04590e+01    4.04615e+01    4.04633e+01    4.04646e+01    4.04654e+01    
1.01980e+03    3.93381e+01    3.96313e+01    3.98167e+01    3.99527e+01    4.00653e+01    4.01501e+01    4.02067e+01    4.02453e+01    4.02743e+01    4.02974e+01    4.03167e+01    4.03327e+01    4.03466e+01    4.03582e+01    4.03681e+01    4.03762e+01    4.03834e+01    4.03895e+01    4.03948e+01    4.03996e+01    4.04290e+01    4.04430e+01    4.04500e+01    4.04539e+01    4.04564e+01    4.04582e+01    4.04596e+01    4.04605e+01    
1.02000e+03    3.93430e+01    3.96370e+01    3.98233e+01    3.99611e+01    4.00743e+01    4.01614e+01    4.02204e+01    4.02615e+01    4.02926e+01    4.03172e+01    4.03369e+01    4.03527e+01    4.03662e+01    4.03774e+01    4.03870e+01    4.03950e+01    4.04021e+01    4.04083e+01    4.04137e+01    4.04186e+01    4.04483e+01    4.04621e+01    4.04689e+01    4.04727e+01    4.04750e+01    4.04767e+01    4.04778e+01    4.04786e+01    
1.02020e+03    3.93200e+01    3.96137e+01    3.98000e+01    3.99386e+01    4.00551e+01    4.01452e+01    4.02065e+01    4.02493e+01    4.02816e+01    4.03069e+01    4.03271e+01    4.03433e+01    4.03570e+01    4.03684e+01    4.03782e+01    4.03865e+01    4.03940e+01    4.04004e+01    4.04062e+01    4.04115e+01    4.04428e+01    4.04568e+01    4.04637e+01    4.04674e+01    4.04698e+01    4.04715e+01    4.04727e+01    4.04734e+01    
1.02040e+03    3.92437e+01    3.95346e+01    3.97177e+01    3.98508e+01    3.99573e+01    4.00468e+01    4.01108e+01    4.01562e+01    4.01904e+01    4.02172e+01    4.02383e+01    4.02551e+01    4.02693e+01    4.02812e+01    4.02916e+01    4.03005e+01    4.03086e+01    4.03157e+01    4.03221e+01    4.03280e+01    4.03637e+01    4.03796e+01    4.03870e+01    4.03909e+01    4.03933e+01    4.03952e+01    4.03967e+01    4.03977e+01    
1.02060e+03    3.91791e+01    3.94670e+01    3.96461e+01    3.97737e+01    3.98859e+01    3.99791e+01    4.00442e+01    4.00892e+01    4.01221e+01    4.01479e+01    4.01687e+01    4.01856e+01    4.02003e+01    4.02127e+01    4.02238e+01    4.02333e+01    4.02420e+01    4.02497e+01    4.02567e+01    4.02632e+01    4.03024e+01    4.03195e+01    4.03270e+01    4.03306e+01    4.03328e+01    4.03344e+01    4.03357e+01    4.03367e+01    
1.02080e+03    3.92274e+01    3.95194e+01    3.97045e+01    3.98418e+01    3.99534e+01    4.00393e+01    4.00983e+01    4.01396e+01    4.01705e+01    4.01948e+01    4.02143e+01    4.02300e+01    4.02434e+01    4.02546e+01    4.02644e+01    4.02727e+01    4.02802e+01    4.02868e+01    4.02927e+01    4.02981e+01    4.03315e+01    4.03467e+01    4.03534e+01    4.03568e+01    4.03587e+01    4.03601e+01    4.03612e+01    4.03620e+01    
1.02100e+03    3.92247e+01    3.95161e+01    3.96998e+01    3.98340e+01    3.99438e+01    4.00288e+01    4.00867e+01    4.01271e+01    4.01574e+01    4.01812e+01    4.02000e+01    4.02150e+01    4.02278e+01    4.02383e+01    4.02474e+01    4.02551e+01    4.02620e+01    4.02680e+01    4.02734e+01    4.02783e+01    4.03092e+01    4.03241e+01    4.03309e+01    4.03344e+01    4.03366e+01    4.03382e+01    4.03394e+01    4.03404e+01    
1.02120e+03    3.92206e+01    3.95112e+01    3.96938e+01    3.98257e+01    3.99345e+01    4.00175e+01    4.00752e+01    4.01159e+01    4.01465e+01    4.01703e+01    4.01890e+01    4.02037e+01    4.02162e+01    4.02264e+01    4.02354e+01    4.02430e+01    4.02498e+01    4.02558e+01    4.02611e+01    4.02660e+01    4.02967e+01    4.03110e+01    4.03174e+01    4.03206e+01    4.03225e+01    4.03238e+01    4.03248e+01    4.03256e+01    
1.02140e+03    3.92285e+01    3.95201e+01    3.97046e+01    3.98405e+01    3.99517e+01    4.00366e+01    4.00949e+01    4.01351e+01    4.01646e+01    4.01878e+01    4.02067e+01    4.02221e+01    4.02354e+01    4.02465e+01    4.02560e+01    4.02640e+01    4.02710e+01    4.02771e+01    4.02825e+01    4.02874e+01    4.03176e+01    4.03318e+01    4.03383e+01    4.03417e+01    4.03437e+01    4.03452e+01    4.03463e+01    4.03471e+01    
1.02160e+03    3.92597e+01    3.95525e+01    3.97377e+01    3.98749e+01    3.99903e+01    4.00799e+01    4.01415e+01    4.01839e+01    4.02152e+01    4.02401e+01    4.02606e+01    4.02775e+01    4.02921e+01    4.03043e+01    4.03147e+01    4.03231e+01    4.03306e+01    4.03369e+01    4.03424e+01    4.03474e+01    4.03765e+01    4.03895e+01    4.03957e+01    4.03989e+01    4.04009e+01    4.04023e+01    4.04033e+01    4.04040e+01    
